Configuration,Rule Source,Sarif Identifier,Alerts
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/inheritance/incorrect-overridden-signature,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/inheritance/incorrect-overriding-signature,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/inheritance/signature-mismatch,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/init-calls-subclass,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/init-method-is-generator,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/insecure-cookie,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/insecure-default-protocol,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/insecure-protocol,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/insecure-temporary-file,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/iter-returns-non-iterator,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/iter-returns-non-self,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/iteration-string-and-sequence,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/jinja2/autoescape-false,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/ldap-injection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/leaking-list-comprehension,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/log-injection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/loop-variable-capture,0
